4Q512 f39i:1       [ -- ]◌◌
4Q512 f150:1       [ -- ]◌[ -- ]
4Q512 f150:2       [ -- ]ה̇י֯◌[ -- ].
4Q512 f151:1       [ -- ]◌ם[ -- ]
4Q512 f151:2       [ -- ] ו֯[ -- ].
4Q512 f152:1       [ -- ]א̇שו֯ ברש[ -- ]
4Q512 f152:2       [ -- ]כול טמאת֯[ -- ].
4Q512 f153:1       [ -- ] הר ◌[ -- ]
4Q512 f153:2       [ -- ]ו֯בי֯◌[ -- ]
4Q512 f154:1       [ -- ]שמ◌[ -- ]
4Q512 f154:2       [ -- ]אמר[ -- ].
4Q512 f155:1       [ -- ]◌◌[ -- ]
4Q512 f155:2       [ -- ]ר֯ו֯ [ -- ]
4Q512 f155:3       [ -- ]◌[ -- ].
4Q512 f156:1       [ -- ]◌[ -- ]
4Q512 f156:2       [ -- ]ו̇ג◌[ -- ]
4Q512 f156:3       [ -- ]◌ת [ -- ].
4Q512 f157:1       [ -- ]כ֯◌◌[ -- ]
4Q512 f157:2       [ -- ]◌פש[ -- ]
4Q512 f157:3       [ -- ]ל֯[ -- ].
4Q512 f158:1       [ -- ]◌ט̇◌[ -- ].
4Q512 f159:1       [ -- ] מ֯ן֯[ -- ]
4Q512 f159:2       [ -- ]ב̇א̇ו֯◌[ -- ].
4Q512 f160:1       [ -- ]◌[ -- ]
4Q512 f160:2       [ -- ]ו֯◌[ -- ]
4Q512 f160:3       [ -- ] א[ -- ]
4Q512 f160:4       [ -- ]◌כ֯[ -- ].
4Q512 f161:1       [ -- ]◌◌[ -- ]
4Q512 f161:2       [ -- ]וש֯◌[ -- ].
4Q512 f162:1       [ -- ]◌ה֯◌◌◌ [ -- ].
4Q512 f163:1       [ -- ]◌ [ -- ]
4Q512 f163:2       [ -- ]◌מ◌[ -- ]
4Q512 f163:3       [ -- ]◌א֯[ -- ].
4Q512 f164:1       [ -- ]◌◌[ -- ]
4Q512 f164:2       [ -- ]◌◌◌ץ֯ [ -- ]
4Q512 f164:3       [ -- ]ל֯[ -- ].
4Q512 f165:1       [ -- ]◌[ -- ]
4Q512 f165:2       [ -- ]◌כה [ -- ].
4Q512 f166:1       [ -- ]ם [ -- ].
4Q512 f167:1       [ -- ]〚 〛[ -- ]
4Q512 f167:2       [ -- ]◌ ה֯[ -- ].
4Q512 f168:1       [ -- ]את ב[ -- ].
4Q512 f169:1       [ -- ] ת̇[ -- ].
4Q512 f172:1       [ -- ]ם֯ [ -- ].
4Q512 f174:1       [ -- ]◌◌[ -- ]
4Q512 f174:2       [ -- ]ר֯כה֯[ -- ]
4Q512 f174:3       [ -- ]ר֯◌◌[ -- ].
4Q512 f175:1       [ -- ]◌◌◌ט֯ ◌◌[ -- ]
4Q512 f175:2       [ -- ]◌◌[ -- ].
4Q512 f176:1       [ -- ]◌ [ -- ]
4Q512 f176:2       [ -- ]◌ק֯◌[ -- ].
4Q512 f177:1       [ -- ]או במ[ -- ]
4Q512 f177:2       [ -- ] בם [ -- ].
4Q512 f178:1       [ -- ]ל[ -- ].
4Q512 f179:1       [ -- ]ב֯כב֯[ -- ].
4Q512 f180:1       [ -- ]ה֯ ◌[ -- ]
4Q512 f180:2       [ -- ]לי֯ו֯[ -- ].
4Q512 f181:1       [ -- ]◌◌[ -- ]
4Q512 f181:2       [ -- ]א֯ר 〚 〛[ -- ]
4Q512 f181:3       [ -- ]ה֯טהר[ -- ]
4Q512 f181:4       [ -- ]ם [ -- ].
4Q512 f182:1       [ -- ]ל [ -- ].
4Q512 f183:1       [ -- ]ב֯ש֯ם֯ ◌◌[ -- ]
4Q512 f183:2       [ -- ]ל֯[ -- ].
4Q512 f184:1       [ -- ]ם [ -- ].
4Q512 f185:1       [ -- ]◌ס֯ א֯[ -- ]
4Q512 f185:2       [ -- ]ר֯ש֯ [ ] ^ה֯[^ -- ].
4Q512 f186:1       ב◌[ -- ].
4Q512 f187:1       [ -- ]◌ש֯[ -- ]
4Q512 f187:2       [ -- ]ל [ -- ].
4Q512 f188:1       [ -- ]◌[ -- ]
4Q512 f188:2       [ -- ] עו֯[ -- ].
4Q512 f189:1       [ -- ]ש֯ו֯ה [ -- ].
4Q512 f191:1       [ -- ]◌א֯ו֯ר֯ [ -- ].
4Q512 f192:1       [ -- ] וענ֯[ה -- ].
4Q512 f193:1       [ -- ] מ[ -- ]
4Q512 f193:2       [ -- ]◌ [ -- ].
4Q512 f194:1       [ -- ]◌כ֯[ -- ]
4Q512 f194:2       [ -- ]◌מ֯◌[ -- ].
4Q512 f195:1       [ -- ]י̇[ -- ].
4Q512 f197:1       [ -- ]ך֯ ע֯ם֯[ -- ]
4Q512 f197:2       [ -- ]ש֯כ֯[ -- ].
4Q512 f198:1       [ -- ]ש֯ו [ -- ].
4Q512 f199:1       [ -- ]◌◌[ -- ]
4Q512 f199:2       [ -- ]ד֯ לוא[ -- ].
4Q512 f200:1       [ -- ] ב[ -- ]
4Q512 f200:2       [ -- ]ת֯ו̇ [ -- ].
4Q512 f201:1       [ -- ]ע֯מ֯[ -- ]
4Q512 f201:2       [ -- ]ך֯ ט̇[ -- ]
4Q512 f201:3       [ -- ]◌ [ -- ].
4Q512 f202:1       [ -- ]◌ ל◌[ -- ].
4Q512 f203:1       [ -- ]י̇ד̇[ -- ].
4Q512 f204:1       [ -- ]ה֯א̇◌[ -- ].
4Q512 f205:1       [ -- ]כ֯ל֯ א[ -- ].
4Q512 f206:1       [ -- ] ה֯[ -- ].
4Q512 f208:1       [ -- ] ה֯[ -- ].
4Q512 f209:1       [ -- ] ה◌[ -- ]
4Q512 f209:2       [ -- ]ל֯[ -- ].
4Q512 f210:1       [ -- ]◌ו֯[ -- ].
4Q512 f211:1       [ -- ]ר֯י֯◌[ -- ].
4Q512 f212:1       [ -- ]◌ו֯ת[ -- ].
4Q512 f213:1       [ -- ]בי֯◌[ -- ]
4Q512 f213:2       [ -- ]מ֯ו֯ [ -- ].
4Q512 f214:1       [ -- ]◌ח֯◌[ -- ].
4Q512 f226:1       [ -- ]◌ ◌◌[ -- ]
4Q512 f226:2       [ -- אה]ב֯תכה [ -- ]
4Q512 f226:3       [ -- ] ו֯מ֯ש֯כו֯[ -- ]
4Q512 f226:4       [ -- ]ע֯ו֯למ֯י֯ם֯ [ -- ].
4Q512 f227:1       [ -- ]ם֯[ -- ]
4Q512 f227:2       [ -- ] ואד̇[ -- ]
4Q512 f227:3       [ -- ]ב֯אור [ -- ]
4Q512 f227:4       [ -- ]ו֯ן ◌◌[ -- ].
4Q512 f228:1       [ -- ]◌
4Q512 f228:2       [ -- ]מת
4Q512 f228:3       [ -- ]◌ת.
4Q512 f229:1       [ -- ] א֯[ -- ]
4Q512 f229:2       [ -- ]י֯ש◌[ -- ]
4Q512 f229:3       [ -- ^]מימי֯[ ]^ מי[ -- ].
4Q512 f230:1       [ -- ] ש̇[ -- ]
4Q512 f230:2       [ -- ]ב[ -- ].
4Q512 f231:1       [ -- ]◌◌ ◌[ -- ]
4Q512 f231:2       [ -- ] על◌[ -- ]
4Q512 f231:3       [ -- ]◌◌ ◌[ -- ].
